Dataset,Fold,Model,Versao,MSE,MAE
a7,5,RF,RO,44.78529791328138,4.633539628381338
a7,5,RF,Hardness-RO,16.434755479824084,2.720484586709291
a7,5,BAGGING,Original,35.95215384615384,3.7
a7,5,BAGGING,RO,42.91548034421928,4.549785450499359
a7,5,BAGGING,Hardness-RO,15.891941885152756,2.6913246258801897
abalone,1,SVR,Original,8.056572978804509,1.8862044968898086
abalone,1,SVR,RO,11.24105857786859,2.6572225575182773
abalone,1,SVR,Hardness-RO,8.593505364943129,2.086058485463972
abalone,1,NNET,Original,9.103509396310313,2.2844850971646835
abalone,1,NNET,RO,11.328320535547448,2.5967890165802796
abalone,1,NNET,Hardness-RO,11.570770555887503,2.434902517894994
abalone,1,XGB,Original,6.262310028076172,1.8009830713272095
abalone,1,XGB,RO,7.619204998016357,2.081112861633301
abalone,1,XGB,Hardness-RO,6.698624134063721,1.8572139739990234
abalone,1,RF,Original,5.811594736842106,1.72311004784689
abalone,1,RF,RO,7.075063755980862,2.042428229665072
abalone,1,RF,Hardness-RO,6.421820454545455,1.7811602870813397
abalone,1,BAGGING,Original,6.579473684210527,1.8227272727272728
abalone,1,BAGGING,RO,7.835645933014354,2.1258373205741625
abalone,1,BAGGING,Hardness-RO,6.906794258373206,1.8904306220095695
abalone,2,SVR,Original,6.2942255413058055,1.7546391768595548
abalone,2,SVR,RO,10.601966941756398,2.644482467110003
abalone,2,SVR,Hardness-RO,7.816270721146953,2.0764138642432273
abalone,2,NNET,Original,11.373850213580477,2.4291231490131575
abalone,2,NNET,RO,17.7855429029811,3.166451048403784
abalone,2,NNET,Hardness-RO,10.991790909708525,2.4501305682009837
abalone,2,XGB,Original,5.300401210784912,1.7025607824325562
abalone,2,XGB,RO,7.614668846130371,2.1054887771606445
abalone,2,XGB,Hardness-RO,5.7219557762146,1.795082449913025
abalone,2,RF,Original,4.670580023923445,1.5973325358851673
abalone,2,RF,RO,6.78060980861244,2.057727272727273
abalone,2,RF,Hardness-RO,5.270909330143541,1.7046411483253587
abalone,2,BAGGING,Original,5.070311004784688,1.6645933014354066
abalone,2,BAGGING,RO,7.686842105263158,2.1421052631578945
abalone,2,BAGGING,Hardness-RO,5.735311004784689,1.7822966507177034
abalone,3,SVR,Original,8.6629353085317,1.9472002029308577
abalone,3,SVR,RO,10.890929999588042,2.587587045866332
abalone,3,SVR,Hardness-RO,9.885076723121287,2.329778725006568
abalone,3,NNET,Original,9.859814728681833,2.361425174998415
abalone,3,NNET,RO,14.89577392170617,2.978206204125071
abalone,3,NNET,Hardness-RO,12.357063882868566,2.6670101964676434
abalone,3,XGB,Original,5.658883571624756,1.6849831342697144
abalone,3,XGB,RO,7.144743919372559,2.012437343597412
abalone,3,XGB,Hardness-RO,7.275082588195801,1.933071494102478
abalone,3,RF,Original,5.607441077844311,1.6646586826347303
abalone,3,RF,RO,6.7118446706586825,1.9702155688622753
abalone,3,RF,Hardness-RO,6.993822994011975,1.8853413173652696
abalone,3,BAGGING,Original,5.988467065868265,1.722994011976048
abalone,3,BAGGING,RO,7.80305389221557,2.0762874251497005
abalone,3,BAGGING,Hardness-RO,7.559556886227545,1.961317365269461
abalone,4,SVR,Original,8.869635996597726,2.004148101734641
abalone,4,SVR,RO,11.016400071466235,2.6239552090353473
abalone,4,SVR,Hardness-RO,9.59344292604165,2.198980216723848
