Dataset,Fold,Model,Versao,MSE,MAE
abalone,1,XGB,Hardness-RO,6.807382583618164,1.8406633138656616
abalone,1,RF,Original,5.811594736842106,1.72311004784689
abalone,1,RF,RO,6.879259569377991,2.0317224880382776
abalone,1,RF,Hardness-RO,6.385269497607656,1.7170693779904305
abalone,1,BAGGING,Original,6.579473684210527,1.8227272727272728
abalone,1,BAGGING,RO,7.449031100478468,2.1008373205741626
abalone,1,BAGGING,Hardness-RO,6.835071770334929,1.8098086124401913
abalone,2,SVR,Original,6.2942255413058055,1.7546391768595548
abalone,2,SVR,RO,10.22358915969329,2.591323484359703
abalone,2,SVR,Hardness-RO,6.943482116065497,1.8592140876717538
abalone,2,NNET,Original,11.373850213580477,2.4291231490131575
abalone,2,NNET,RO,16.79666388981674,3.0817768771646303
abalone,2,NNET,Hardness-RO,10.129830787665613,2.2545585879032357
abalone,2,XGB,Original,5.300401210784912,1.7025607824325562
abalone,2,XGB,RO,7.47313928604126,2.1135106086730957
abalone,2,XGB,Hardness-RO,4.993930816650391,1.6145612001419067
abalone,2,RF,Original,4.670580023923445,1.5973325358851673
abalone,2,RF,RO,6.563866507177033,2.0513397129186606
abalone,2,RF,Hardness-RO,5.071022846889951,1.6026674641148326
abalone,2,BAGGING,Original,5.070311004784688,1.6645933014354066
abalone,2,BAGGING,RO,7.455622009569377,2.1433014354066984
abalone,2,BAGGING,Hardness-RO,5.2935885167464125,1.6473684210526314
abalone,3,SVR,Original,8.6629353085317,1.9472002029308577
abalone,3,SVR,RO,10.722582773597276,2.5787034054602276
abalone,3,SVR,Hardness-RO,9.426537469768377,2.0849764630083913
abalone,3,NNET,Original,9.859814728681833,2.361425174998415
abalone,3,NNET,RO,18.85973727663699,3.3793374431286103
abalone,3,NNET,Hardness-RO,11.136364430391785,2.4055310465428565
abalone,3,XGB,Original,5.658883571624756,1.6849831342697144
abalone,3,XGB,RO,7.375762462615967,2.0393261909484863
abalone,3,XGB,Hardness-RO,7.413731575012207,1.8965911865234375
abalone,3,RF,Original,5.607441077844311,1.6646586826347303
abalone,3,RF,RO,6.594603353293413,1.978826347305389
abalone,3,RF,Hardness-RO,7.0850258682634735,1.786874251497006
abalone,3,BAGGING,Original,5.988467065868265,1.722994011976048
abalone,3,BAGGING,RO,7.419497005988025,2.0962874251497006
abalone,3,BAGGING,Hardness-RO,7.357628742514971,1.8328143712574851
abalone,4,SVR,Original,8.869635996597726,2.004148101734641
abalone,4,SVR,RO,11.253490024326794,2.6612462589503534
abalone,4,SVR,Hardness-RO,9.943367075069549,2.13123135495778
abalone,4,NNET,Original,10.82626275948681,2.4968795554721317
abalone,4,NNET,RO,16.616137215036147,3.0946528662653368
abalone,4,NNET,Hardness-RO,11.923221330782932,2.47158178209745
abalone,4,XGB,Original,6.446140766143799,1.8089317083358765
abalone,4,XGB,RO,7.860879421234131,2.117828130722046
abalone,4,XGB,Hardness-RO,7.565324306488037,1.8488014936447144
abalone,4,RF,Original,5.902061796407186,1.6957365269461078
abalone,4,RF,RO,7.066633413173653,2.036083832335329
abalone,4,RF,Hardness-RO,7.305087664670658,1.812
abalone,4,BAGGING,Original,6.458215568862276,1.7852694610778443
abalone,4,BAGGING,RO,7.927005988023953,2.1526946107784433
abalone,4,BAGGING,Hardness-RO,7.5219999999999985,1.8734131736526947
abalone,5,SVR,Original,6.5371553124831525,1.7808229065207004
abalone,5,SVR,RO,10.610604048534599,2.6723038006052398
abalone,5,SVR,Hardness-RO,7.210458078592703,1.8489717179538352
abalone,5,NNET,Original,8.159344102468424,2.176221811611287
abalone,5,NNET,RO,11.685973940207862,2.5888976977516287
abalone,5,NNET,Hardness-RO,9.263108688279377,2.2050191466053843
abalone,5,XGB,Original,4.989918231964111,1.637303352355957
abalone,5,XGB,RO,6.52480411529541,1.9815558195114136
abalone,5,XGB,Hardness-RO,5.208827495574951,1.6088135242462158
abalone,5,RF,Original,4.469524910179642,1.5595808383233534
abalone,5,RF,RO,6.399273413173653,2.0043952095808386
abalone,5,RF,Hardness-RO,5.092423832335329,1.549736526946108
abalone,5,BAGGING,Original,4.828790419161677,1.6172455089820357
abalone,5,BAGGING,RO,7.160622754491019,2.090059880239521
abalone,5,BAGGING,Hardness-RO,5.327485029940121,1.6140119760479041
acceleration,1,SVR,Original,8.372321049350688,2.0725949443821503
acceleration,1,SVR,RO,20.672373975698314,3.8758245191222036
acceleration,1,SVR,Hardness-RO,8.023919951328345,2.03490208896304
acceleration,1,NNET,Original,1089.0283544794133,9.80701950433356
acceleration,1,NNET,RO,1472.9497326892083,8.58221363479934
acceleration,1,NNET,Hardness-RO,949.2027321993105,14.450802235496193
acceleration,1,XGB,Original,0.47769300664655,0.46980180822806683
acceleration,1,XGB,RO,0.73561846992918,0.5908652033517272
acceleration,1,XGB,Hardness-RO,0.7226512910337033,0.5759271355115028
acceleration,1,RF,Original,0.6463785667829415,0.5754036263208457
acceleration,1,RF,RO,0.9173554054382107,0.6770487539677779
acceleration,1,RF,Hardness-RO,0.7832891345713071,0.6272575658506513
acceleration,1,BAGGING,Original,0.7758114220300992,0.6179260326609028
acceleration,1,BAGGING,RO,0.9872160576627131,0.7063601214974229
acceleration,1,BAGGING,Hardness-RO,0.9223403977499198,0.6686963836012092
acceleration,2,SVR,Original,8.05144177413021,2.0804220922838317
acceleration,2,SVR,RO,22.670653976455625,4.057105047201521
acceleration,2,SVR,Hardness-RO,7.754526043070112,2.072367579941228
acceleration,2,NNET,Original,113.69885433529099,8.457937312555707
